Attribute,DPD_Original,DPD_Fair,DPD_Reduction,POR_Original_Avg,POR_Fair_Avg,N_Groups
gender,0.07435210014740423,0.011034100402422808,0.06331799974498142,84.5489526377647,84.64818907572212,2
age_group,0.20579461212894323,0.1850482989282436,0.02074631320069964,86.2954870752755,88.03208683446987,6
occupation_name_all,0.5091503267973856,0.5014705882352941,0.007679738562091476,81.88410900469906,84.05484993766528,21
