age_group,Original_Bias,Reduced_Bias
<18,6.528886801315172,3.720744873872617
18–24,4.736575481256333,3.3543074486240387
25–34,3.5264483627204037,2.312216535135094
35–44,2.6097271648873077,1.6276295132337315
45–54,1.10803324099723,0.5733456772367698
55+,1.6085790884718498,0.8323410480654508
